XM_022458270.1	NA
XM_022430344.1	GO:0000139; GO:0000209; GO:0000242; GO:0000784; GO:0003950; GO:0005634; GO:0005635; GO:0005737; GO:0005829; GO:0006471; GO:0016055; GO:0019899; GO:0032212; GO:0035264; GO:0040014; GO:0046872; GO:0048471; GO:0070198; GO:0070212; GO:0070213; GO:0090263; GO:1904355; GO:1904357; GO:1990404
XM_022430348.1	NA
XM_022430380.1	GO:0005222; GO:0005223; GO:0005737; GO:0005886; GO:0006812; GO:0007165; GO:0007601; GO:0008022; GO:0015276; GO:0030425; GO:0030553; GO:0031960; GO:0032026; GO:0043194; GO:0043204; GO:0051591; GO:0097386; GO:0098659; GO:1902495
XM_022430384.1	GO:0005886; GO:0006865; GO:0015171; GO:0015175; GO:0015179; GO:0015184; GO:0015804; GO:0015811; GO:0016021; GO:0016324; GO:0031526; GO:0042605
XM_022430392.1	GO:0005634; GO:0005874; GO:0015031; GO:0030659; GO:0046907
XM_022430394.1	NA
XM_022430398.1	NA
XM_022430410.1	NA
XM_022430411.1	NA
XM_022430415.1	NA
XM_022430428.1	NA
XM_022430426.1	GO:0000151; GO:0000165; GO:0003676; GO:0004842; GO:0005737; GO:0005829; GO:0007265; GO:0008139; GO:0008270; GO:0009968; GO:0031965; GO:0042802; GO:0061630
XM_022430440.1	NA
XM_022430438.1	NA
XM_022430455.1	GO:0042802
XM_022430457.1	NA
XM_022430466.1	NA
XM_022430470.1	GO:0016607
XM_022430469.1	GO:0005332; GO:0005886; GO:0007268; GO:0007612; GO:0009636; GO:0009744; GO:0009986; GO:0010288; GO:0014054; GO:0014074; GO:0016020; GO:0016021; GO:0030424; GO:0032229; GO:0032355; GO:0042165; GO:0042220; GO:0043005; GO:0046872; GO:0051260; GO:0051592; GO:0051939; GO:0098982; GO:0099055; GO:0099056
XM_022430471.1	GO:0003723; GO:0005739; GO:0005741; GO:0005783; GO:0005811; GO:0008017; GO:0010614; GO:0010738; GO:0016021; GO:0019901; GO:0019903; GO:0030061; GO:0030346; GO:0031594; GO:0034237; GO:0035308; GO:0042308; GO:0045211; GO:0048487; GO:0060090
XM_022430472.1	NA
XM_022430482.1	GO:0000139; GO:0000978; GO:0001817; GO:0005576; GO:0005654; GO:0005794; GO:0005829; GO:0007568; GO:0008270; GO:0009898; GO:0043123; GO:0045944; GO:0050699; GO:0071222; GO:0098559; GO:0098560; GO:0098574; GO:1901223
XM_022430481.1	GO:0005814; GO:0030030; GO:0036064
XM_022430483.1	GO:0003923; GO:0005789; GO:0016020; GO:0016255; GO:0030176; GO:0030182; GO:0031410; GO:0042765; GO:0051402
XM_022430493.1	GO:0000796; GO:0000799; GO:0003682; GO:0005634; GO:0005694; GO:0005829; GO:0007076; GO:0007143; GO:0010032; GO:0044547; GO:0045132; GO:0051301; GO:0051309; GO:0072587
XM_022430497.1	NA
XM_022430512.1	NA
XM_022430517.1	GO:0004623; GO:0005576; GO:0006644; GO:0016042; GO:0050482; GO:0090729; GO:0102567; GO:0102568
XM_022430525.1	GO:0000462; GO:0003723; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0006364; GO:0034459
XM_022430529.1	GO:0004365; GO:0005737; GO:0006006; GO:0006096; GO:0050661; GO:0051287
XM_022430531.1	NA
XM_022430534.1	GO:0003924; GO:0005525; GO:0005768; GO:0005776; GO:0005829; GO:0005886; GO:0006886; GO:0006914; GO:0030139; GO:0030667; GO:0032482; GO:0043312
XM_022430551.1	NA
XM_022430541.1	NA
XM_022430545.1	GO:0004177; GO:0004197; GO:0005737; GO:0008234; GO:0009636; GO:0042493; GO:0042802; GO:0043418
XM_022430552.1	GO:0000139; GO:0003924; GO:0005096; GO:0005829; GO:0007165; GO:0007411; GO:0016020; GO:0017016; GO:0042803; GO:0043087; GO:0043547; GO:0051056; GO:1903697
XM_022430566.1	GO:0007275
XM_022430572.1	GO:0004312; GO:0004313; GO:0004314; GO:0004315; GO:0004316; GO:0004320; GO:0005737; GO:0005794; GO:0005829; GO:0005886; GO:0006084; GO:0006633; GO:0008144; GO:0008610; GO:0008611; GO:0008659; GO:0016295; GO:0016296; GO:0030223; GO:0030224; GO:0030879; GO:0031177; GO:0042470; GO:0042587; GO:0042802; GO:0042803; GO:0047117; GO:0047451; GO:0070402; GO:0071353; GO:0090557; GO:0102131; GO:0102132
XM_022430574.1	NA
XM_022430594.1	GO:0005634; GO:0005829; GO:0042781; GO:0046872
XM_022430584.1	GO:0005524; GO:0005739; GO:0006631; GO:0006633; GO:0016878; GO:0031957; GO:0090409; GO:0090410
XM_022430589.1	GO:0004177; GO:0005654; GO:0005737; GO:0005739; GO:0005829; GO:0008233; GO:0008235; GO:0030145; GO:0030496; GO:0097718
XM_022430593.1	NA
XM_022430601.1	GO:0009306; GO:0016021
XM_022430624.1	GO:0001654; GO:0005737; GO:0005813; GO:0007420; GO:0010977; GO:0017137; GO:0031076; GO:0031175; GO:0034452; GO:0047496; GO:0055107
XM_022430631.1	NA
XM_022430634.1	GO:0005739; GO:0016021; GO:0031966
XM_022430641.1	GO:0005654; GO:0005813; GO:0005814; GO:0043231
XM_022430643.1	NA
XM_022430644.1	GO:0000462; GO:0003723; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0006364; GO:0034459
XM_022430645.1	NA
XM_022430649.1	
XM_022430663.1	NA
XM_022430650.1	NA
XM_022430654.1	NA
XM_022430659.1	NA
XM_022430669.1	GO:0005886; GO:0016021; GO:0016491
XM_022430677.1	NA
