A0A084API3	XM_022442998.1	5.9
A0A086F3E3	XM_022443134.1	0.23
A0A087WPF7	XM_022483425.1	0.007
A0A087WPF7	XM_022483425.1	3.00E-13
A0A087WT01	XR_002634310.1	1.5
A0A089FSA4	XM_022441003.1	1.6
A0A089FSA4	XM_022443420.1	2.8
A0A098DRK7	XM_022434895.1	0.45
A0A098DRK7	XR_002634438.1	0.36
A0A098DRK7	XR_002634439.1	0.71
A0A098DRQ4	XM_022448553.1	2
A0A0A6YXX9	XM_022439761.1	1.2
A0A0A6YYC5	XR_002635180.1	0.3
A0A0A7DNP6	XM_022463864.1	3.00E-09
A0A0B4J1F4	XM_022466820.1	1.00E-21
A0A0B4J1F4	XM_022466821.1	1.00E-21
A0A0B4J1F4	XM_022466822.1	1.00E-21
A0A0B4J1F4	XM_022466823.1	1.00E-21
A0A0B5A7M7	XM_022434456.1	2.00E-12
A0A0B5A7M7	XR_002634296.1	9.00E-11
A0A0B5A8P8	XM_022433400.1	2.00E-16
A0A0B5A8P8	XR_002633806.1	3.00E-16
A0A0C5PHQ7	XM_022458285.1	1.00E-21
A0A0C5PHQ7	XM_022458285.1	1.00E-21
A0A0C5PHQ7	XM_022458286.1	3.00E-21
A0A0C5PHQ7	XM_022458286.1	3.00E-21
A0A0C5URS1	XR_002638400.1	2.9
A0A0D2YFZ7	XM_022460557.1	3.8
A0A0E0RTV6	XM_022433592.1	7.00E-26
A0A0E0RTV6	XM_022433593.1	8.00E-26
A0A0E0RTV6	XM_022433595.1	8.00E-26
A0A0F6B8A2	XM_022485193.1	0.14
A0A0F7YYX3	XM_022473479.1	2.00E-23
A0A0F7YYX3	XM_022473480.1	5.00E-23
A0A0F7YYX3	XM_022473623.1	7.00E-23
A0A0F7YYX3	XM_022473624.1	1.00E-22
A0A0F7YZI5	XM_022474654.1	1.00E-30
A0A0F7YZI5	XM_022474655.1	2.00E-30
A0A0F7Z3J2	XM_022478070.1	1.00E-33
A0A0G2JXN2	XM_022436179.1	3.00E-04
A0A0G2JXN2	XM_022436180.1	0.001
A0A0G2JXN2	XM_022436181.1	0.001
A0A0G2JXN2	XM_022442199.1	0.24
A0A0G2K344	XM_022485713.1	0
A0A0G2K344	XM_022485714.1	0
A0A0G2K344	XM_022485715.1	0
A0A0G2K344	XM_022485716.1	0
A0A0G2K344	XM_022485717.1	0
A0A0G2KBC9	XR_002635864.1	5
A0A0G2KQY6	XM_022431615.1	6.00E-80
A0A0H2XIV9	XR_002637366.1	7.2
A0A0H2XIV9	XR_002638749.1	6.6
A0A0H3KDT7	XR_002637365.1	8.3
A0A0H3LX82	XR_002639571.1	5.7
A0A0K0MCJ4	XM_022434146.1	8.1
A0A0K0MCJ4	XM_022434147.1	8.2
A0A0K0MCJ4	XM_022434148.1	8.2
A0A0K0MCJ4	XM_022434149.1	8.7
A0A0K8P6T7	XM_022446173.1	9.7
A0A0K8P6T7	XM_022446451.1	9.6
A0A0N9E2K8	XM_022486144.1	1.00E-109
A0A0N9E2K8	XM_022486145.1	6.00E-112
A0A0N9E2K8	XM_022486146.1	3.00E-111
A0A0N9E2K8	XM_022486147.1	1.00E-109
A0A0P0X004	XM_022470127.1	0.36
A0A0R4I9Y1	XM_022438062.1	8.8
A0A0R4I9Y1	XM_022439089.1	3.00E-31
A0A0R4I9Y1	XM_022439524.1	5.6
A0A0R4IBK5	XM_022437775.1	0
A0A0R4IBK5	XM_022437775.1	3.00E-92
A0A0R4IBK5	XM_022437776.1	0
A0A0R4IBK5	XM_022437776.1	3.00E-92
A0A0R4IBK5	XM_022437777.1	0
A0A0R4IBK5	XM_022437777.1	2.00E-92
A0A0R4IBK5	XM_022437778.1	0
