NC_035780.1	100558	101923	30	1365
NC_035780.1	102593	103702	37	1109
NC_035780.1	245717	248838	63	3121
NC_035780.1	250197	351003	2024	100806
NC_035780.1	353355	356963	89	3608
NC_035780.1	369554	378352	185	8798
NC_035780.1	380654	423774	1105	43120
NC_035780.1	449440	450158	23	718
NC_035780.1	471401	472285	31	884
NC_035780.1	529221	530454	26	1233
NC_035780.1	545053	645842	2035	100789
NC_035780.1	649562	650423	28	861
NC_035780.1	661439	661945	24	506
NC_035780.1	665068	670288	140	5220
NC_035780.1	677431	678698	36	1267
NC_035780.1	679665	682679	66	3014
NC_035780.1	730817	731584	21	767
NC_035780.1	732398	733935	45	1537
NC_035780.1	734750	735474	21	724
NC_035780.1	740758	742445	39	1687
NC_035780.1	748601	749510	22	909
NC_035780.1	750295	751015	19	720
NC_035780.1	755456	756393	31	937
NC_035780.1	757266	758776	32	1510
NC_035780.1	769577	770257	20	680
NC_035780.1	773375	774195	20	820
NC_035780.1	774661	775303	18	642
NC_035780.1	776155	779505	68	3350
NC_035780.1	779608	780423	17	815
NC_035780.1	908838	910555	37	1717
NC_035780.1	910758	922069	282	11311
NC_035780.1	935678	937057	33	1379
NC_035780.1	937631	940683	65	3052
NC_035780.1	941184	952193	260	11009
NC_035780.1	963503	973408	251	9905
NC_035780.1	983985	997750	299	13765
NC_035780.1	1000230	1000778	21	548
NC_035780.1	1003212	1005365	48	2153
NC_035780.1	1006590	1007142	13	552
NC_035780.1	1036866	1038149	30	1283
NC_035780.1	1038494	1040481	43	1987
NC_035780.1	1046033	1046603	16	570
NC_035780.1	1049308	1050044	18	736
NC_035780.1	1077862	1078492	15	630
NC_035780.1	1162651	1163245	22	594
NC_035780.1	1176612	1178233	42	1621
NC_035780.1	1192587	1194166	35	1579
NC_035780.1	1222010	1224817	128	2807
NC_035780.1	1258822	1260382	39	1560
NC_035780.1	1289419	1290301	19	882
NC_035780.1	1342185	1342815	16	630
NC_035780.1	1373756	1374322	15	566
NC_035780.1	1375755	1376946	50	1191
NC_035780.1	1379544	1380432	28	888
NC_035780.1	1382865	1383827	24	962
NC_035780.1	1386325	1387383	30	1058
NC_035780.1	1392540	1394411	38	1871
NC_035780.1	1437386	1438420	42	1034
NC_035780.1	1442453	1443010	12	557
