NC_035780.1	2538900	2539001	-50	NC_035780.1	2524425	2553408
NC_035780.1	31302900	31303001	-60	NC_035780.1	31295876	31307973
NC_035780.1	35969100	35969201	-53	NC_035780.1	35960923	35999467
NC_035781.1	7626500	7626601	-56	NC_035781.1	7589782	7641768
NC_035781.1	7626500	7626601	-56	NC_035781.1	7590843	7626904
NC_035781.1	13281000	13281101	-57	NC_035781.1	13268605	13286933
NC_035781.1	20126000	20126101	-52	NC_035781.1	20125441	20128033
NC_035781.1	30789600	30789701	-57	NC_035781.1	30781806	30790310
NC_035781.1	43054100	43054201	-60	NC_035781.1	43048000	43060502
NC_035781.1	45110200	45110301	-51	NC_035781.1	45108521	45113815
NC_035781.1	59605700	59605801	-54	NC_035781.1	59597843	59609037
NC_035783.1	38039000	38039101	-51	NC_035783.1	38027316	38046164
NC_035783.1	42295600	42295701	-51	NC_035783.1	42292989	42298521
NC_035783.1	58980000	58980101	-61	NC_035783.1	58979191	58985514
NC_035784.1	2256800	2256901	-52	NC_035784.1	2253035	2264233
NC_035784.1	22572200	22572301	-57	NC_035784.1	22570303	22573170
NC_035784.1	57163800	57163901	-63	NC_035784.1	57162759	57168910
NC_035784.1	59387900	59388001	-66	NC_035784.1	59387065	59388876
NC_035784.1	86309400	86309501	-50	NC_035784.1	86307820	86345109
NC_035784.1	92841546	92841601	-52	NC_035784.1	92841546	92852879
NC_035785.1	31878900	31879001	-57	NC_035785.1	31870553	31885515
NC_035785.1	35798100	35798201	-52	NC_035785.1	35793738	35807106
NC_035786.1	41858500	41858601	-50	NC_035786.1	41850385	41933795
NC_035786.1	53586400	53586501	-51	NC_035786.1	53578807	53596609
NC_035787.1	48392300	48392401	-51	NC_035787.1	48329451	48401732
NC_035787.1	52112600	52112701	-53	NC_035787.1	52108337	52115901
NC_035787.1	55630800	55630901	-51	NC_035787.1	55623162	55631418
NC_035787.1	61149800	61149901	-53	NC_035787.1	61140288	61162853
NC_035787.1	69874000	69874101	-59	NC_035787.1	69868997	69893822
NC_035788.1	56052700	56052801	-73	NC_035788.1	56049263	56055305
NC_035788.1	56054500	56054601	-51	NC_035788.1	56049263	56055305
NC_035788.1	64582300	64582401	-68	NC_035788.1	64568441	64651567
NC_035788.1	76583400	76583501	-58	NC_035788.1	76558450	76602357
NC_035788.1	90709000	90709101	-54	NC_035788.1	90649392	90725240
