NC_035780.1	571194	571201	58	NC_035780.1	571194	572676
NC_035780.1	1885000	1885101	50	NC_035780.1	1884754	1886042
NC_035780.1	1933500	1933573	53	NC_035780.1	1932876	1933573
NC_035780.1	28563400	28563501	61	NC_035780.1	28563399	28564615
NC_035780.1	38236400	38236501	50	NC_035780.1	38236121	38236506
NC_035781.1	5386493	5386501	51	NC_035781.1	5386493	5386634
NC_035781.1	24474500	24474586	53	NC_035781.1	24473564	24474586
NC_035781.1	43942600	43942701	52	NC_035781.1	43940334	43944055
NC_035781.1	45110157	45110201	71	NC_035781.1	45110157	45110508
NC_035781.1	53358700	53358801	56	NC_035781.1	53358683	53358814
NC_035783.1	19594300	19594324	51	NC_035783.1	19593603	19594324
NC_035783.1	20710000	20710101	68	NC_035783.1	20709028	20712131
NC_035783.1	21111700	21111774	66	NC_035783.1	21111208	21111774
NC_035783.1	30386500	30386601	52	NC_035783.1	30385894	30390263
NC_035784.1	2353631	2353701	52	NC_035784.1	2353631	2353753
NC_035784.1	14145200	14145301	54	NC_035784.1	14134753	14148379
NC_035784.1	39858454	39858501	57	NC_035784.1	39858454	39858696
NC_035784.1	52580900	52581001	50	NC_035784.1	52580717	52581027
NC_035784.1	81784745	81784801	51	NC_035784.1	81784745	81785265
NC_035784.1	96023500	96023601	57	NC_035784.1	96023135	96023961
NC_035784.1	96552800	96552901	50	NC_035784.1	96552758	96553076
NC_035785.1	12703920	12704001	56	NC_035785.1	12703920	12704422
NC_035785.1	43840300	43840401	59	NC_035785.1	43839258	43840833
NC_035787.1	59175600	59175675	62	NC_035787.1	59174735	59175675
NC_035787.1	73255312	73255401	64	NC_035787.1	73255312	73255646
NC_035788.1	13021300	13021401	57	NC_035788.1	13021292	13022001
NC_035788.1	18651900	18652001	50	NC_035788.1	18651885	18652427
